FrameCount, Within Perception?, Within Eating Distance?, Action
708,0,0,follow
709,0,0,follow
710,0,0,follow
711,0,0,follow
712,0,0,follow
713,0,0,follow
714,0,0,follow
715,0,0,follow
716,0,0,follow
717,0,0,follow
718,0,0,follow
719,0,0,follow
720,0,0,follow
721,0,0,follow
722,0,0,follow
723,0,0,follow
724,0,0,follow
725,0,0,follow
726,0,0,follow
727,0,0,follow
728,0,0,follow
729,0,0,follow
730,0,0,follow
731,0,0,follow
732,0,0,follow
733,0,0,follow
734,0,0,follow
735,0,0,follow
736,0,0,follow
737,0,0,follow
738,0,0,follow
739,0,0,follow
740,0,0,follow
741,0,0,follow
742,0,0,follow
743,0,0,follow
744,0,0,follow
745,0,0,follow
746,0,0,follow
747,0,0,follow
748,0,0,follow
749,0,0,follow
750,0,0,follow
751,0,0,follow
752,0,0,follow
753,0,0,follow
754,0,0,follow
755,0,0,follow
756,0,0,follow
757,0,0,follow
758,0,0,follow
759,0,0,follow
760,0,0,follow
761,0,0,follow
762,0,0,follow
763,0,0,follow
764,0,0,follow
765,0,0,follow
766,0,0,follow
767,0,0,follow
768,0,0,follow
769,0,0,follow
770,0,0,follow
771,0,0,follow
772,0,0,follow
773,0,0,follow
774,0,0,follow
775,1,0,chase
776,1,0,chase
777,1,0,chase
778,1,0,chase
779,1,0,chase
780,1,0,chase
781,1,0,chase
782,1,0,chase
783,1,0,chase
784,1,0,chase
785,1,0,chase
786,1,0,chase
787,1,0,chase
788,1,0,chase
789,1,0,chase
790,1,0,chase
791,1,0,chase
792,1,0,chase
793,1,0,chase
794,1,0,chase
795,1,0,chase
796,1,0,chase
797,1,0,chase
798,1,0,chase
799,1,0,chase
800,1,0,chase
801,1,0,chase
802,1,0,chase
803,1,0,chase
804,1,0,chase
805,1,0,chase
806,1,0,chase
807,1,0,chase
808,1,0,chase
809,1,0,chase
810,1,0,chase
811,1,0,chase
812,1,0,chase
813,1,0,chase
814,1,0,chase
815,1,0,chase
816,1,0,chase
817,1,0,chase
818,1,0,chase
819,1,0,chase
820,1,0,chase
821,1,0,chase
822,1,0,chase
823,1,0,chase
824,1,0,chase
825,1,0,chase
826,1,0,chase
827,1,0,chase
828,1,0,chase
829,1,0,chase
830,1,0,chase
831,1,0,chase
832,1,0,chase
833,1,0,chase
834,1,0,chase
835,1,0,chase
836,1,0,chase
837,1,0,chase
838,1,0,chase
839,1,0,chase
840,1,0,chase
841,1,0,chase
842,1,1,chase
843,1,1,eat
844,0,0,follow
845,0,0,follow
846,0,0,follow
847,0,0,follow
848,0,0,follow
849,0,0,follow
850,0,0,follow
851,0,0,follow
852,0,0,follow
853,0,0,follow
854,0,0,follow
855,0,0,follow
856,0,0,follow
857,0,0,follow
858,0,0,follow
859,0,0,follow
860,0,0,follow
861,0,0,follow
862,0,0,follow
863,0,0,follow
864,0,0,follow
865,0,0,follow
866,0,0,follow
867,0,0,follow
868,0,0,follow
869,0,0,follow
870,0,0,follow
871,0,0,follow
872,0,0,follow
873,0,0,follow
874,0,0,follow
875,0,0,follow
876,0,0,follow
877,0,0,follow
878,0,0,follow
879,0,0,follow
880,0,0,follow
881,0,0,follow
882,0,0,follow
883,0,0,follow
884,0,0,follow
885,0,0,follow
886,0,0,follow
887,0,0,follow
888,0,0,follow
889,0,0,follow
890,0,0,follow
891,0,0,follow
892,0,0,follow
893,0,0,follow
894,0,0,follow
895,0,0,follow
896,0,0,follow
897,0,0,follow
898,0,0,follow
899,0,0,follow
900,0,0,follow
901,0,0,follow
902,0,0,follow
903,0,0,follow
904,0,0,follow
905,0,0,follow
906,0,0,follow
907,0,0,follow
908,0,0,follow
909,0,0,follow
910,0,0,follow
911,0,0,follow
912,0,0,follow
913,0,0,follow
914,0,0,follow
915,0,0,follow
916,0,0,follow
917,0,0,follow
918,0,0,follow
919,0,0,follow
920,0,0,follow
921,0,0,follow
922,0,0,follow
923,0,0,follow
924,0,0,follow
925,0,0,follow
926,0,0,follow
927,0,0,follow
928,0,0,follow
929,0,0,follow
930,0,0,follow
931,0,0,follow
